0.00000000		0.00000000
0.07463132		132746299123811.03125000
0.14926264		753471442034517.25000000
0.22389396		2486447994316075.50000000
0.29852529		1226041874667580.50000000
0.37315661		224958486845179.68750000
0.44778793		421228367252820.12500000
0.52241925		508287927994778.75000000
0.59705057		603661797137945.25000000
0.67168189		755460211739796.50000000
0.74631321		172305159052521.68750000
0.82094453		1824621742696480.50000000
0.89557586		883948913054420.37500000
0.97020718		124882093436714.01562500
1.04483850		88442569712.97422791
1.11946982		1410755765977651.50000000
1.19410114		3371133574462718.50000000
1.26873246		1421520984902209.00000000
1.34336378		988351035580601.62500000
1.41799510		7061183136371105.00000000
1.49262643		5899638783593260.00000000
1.56725775		17006647877116704.00000000
1.64188907		22645481987394364.00000000
1.71652039		57913215853171584.00000000
1.79115171		32093906905643104.00000000
1.86578303		19048937745964236.00000000
1.94041435		7841753441758747.00000000
2.01504567		34617304727862036.00000000
2.08967700		3826139295625144.00000000
2.16430832		7562392621760821.00000000
2.23893964		4899588342247093.00000000
2.31357096		6481598361062569.00000000
2.38820228		5608231954440337.00000000
2.46283360		5337705261810190.00000000
2.53746492		71488254564307.59375000
2.61209624		35148603726768948.00000000
2.68672757		27693876139308600.00000000
2.76135889		1903299729616946.75000000
2.83599021		34100571600065644.00000000
2.91062153		17633968429834306.00000000
2.98525285		25936005526526996.00000000
3.05988417		13256587083553786.00000000
3.13451549		2608740640875580.50000000
3.20914681		8338715374354629.00000000
3.28377814		10201227725044928.00000000
3.35840946		16426551591047704.00000000
3.43304078		29287679925634692.00000000
3.50767210		29151465280379688.00000000
3.58230342		26394726148478264.00000000
3.65693474		18993621249054028.00000000
3.73156606		4166470850958250.00000000
3.80619738		16599226112644924.00000000
3.88082871		2585840398831700.50000000
3.95546003		7682454851423044.00000000
4.03009135		7530244607731299.00000000
4.10472267		6768842220509135.00000000
4.17935399		4200471442997881.50000000
4.25398531		3008103744757131.50000000
4.32861663		7232669796848239.00000000
4.40324796		95415971453873.35937500
4.47787928		8726130812288693.00000000
4.55251060		5219918297001198.00000000
4.62714192		5198150601202452.00000000
4.70177324		4393557721740210.50000000
4.77640456		4478521567709655.50000000
4.85103588		19110659028516688.00000000
4.92566720		1887722786787596.50000000
5.00029853		8750510721033430.00000000
5.07492985		81091927899740.06250000
5.14956117		3656603996588162.50000000
5.22419249		5036626683894470.00000000
5.29882381		20929418227135864.00000000
5.37345513		4049453369684528.50000000
5.44808645		51719428147303224.00000000
5.52271777		19732781094884636.00000000
5.59734910		4016941714138519.50000000
5.67198042		844245094280740.50000000
5.74661174		46235255775913.88281250
5.82124306		15955737303549818.00000000
5.89587438		3694925372135145.00000000
5.97050570		1882116840716649.00000000
6.04513702		3594285054700662.00000000
6.11976834		11742106380458098.00000000
6.19439967		9879026639661336.00000000
6.26903099		19620782741007952.00000000
6.34366231		1981683001556239.75000000
6.41829363		406430134136300.62500000
6.49292495		4665844969083336.00000000
6.56755627		699542869399323.37500000
6.64218759		2562749211403655.50000000
6.71681891		22373796744272680.00000000
6.79145024		4344209245269363.00000000
6.86608156		11080949526529480.00000000
6.94071288		8019415368879625.00000000
7.01534420		2059858581184556.25000000
7.08997552		1105714676357784.87500000
7.16460684		5742080751444897.00000000
7.23923816		5985004067303752.00000000
7.31386948		31770436534758800.00000000
7.38850081		2487853654899527.00000000
7.46313213		2314631307735564.00000000
7.53776345		3346884069046791.50000000
7.61239477		4184065427745988.50000000
7.68702609		4512316952337768.00000000
7.76165741		2640327081769490.00000000
7.83628873		21276954047619616.00000000
7.91092005		4261611294179016.50000000
7.98555138		9423132536081698.00000000
8.06018270		720027989975473.37500000
8.13481402		831481327692540.25000000
8.20944534		2183226357777098.75000000
8.28407666		22462914743654688.00000000
8.35870798		7008786482629233.00000000
8.43333930		9466313964321048.00000000
8.50797063		8640461448070573.00000000
8.58260195		66179074899551.59375000
8.65723327		15175799517912274.00000000
8.73186459		9679916967287288.00000000
8.80649591		8853061089099012.00000000
8.88112723		2716073665864384.00000000
8.95575855		3079406098325720.00000000
9.03038987		2591362508796424.00000000
9.10502120		1138330835941137.75000000
9.17965252		3796687375370718.00000000
9.25428384		252276223696441.09375000
9.32891516		3965264126264682.00000000
9.40354648		1546480203209652.75000000
9.47817780		274272058708699.75000000
9.55280912		332781692620176.81250000
9.62744044		436028691819291.50000000
9.70207177		1760653183017668.75000000
9.77670309		2770711109061645.50000000
9.85133441		2268155986375548.50000000
9.92596573		1980886993952606.25000000
10.00059705		4322159857956662.50000000
10.07522837		3932051694087026.00000000
10.14985969		1035455713413025.87500000
10.22449101		6960288420169900.00000000
10.29912234		1777879506896329.25000000
